"","Sample.Name","HF","Depth","TOC_ppm","IC_ppm","TC_ppm","mg_doc_per_sample","mg_ic_per_sample"
"22","1","High","Surface",13.7,2.79,16.5,3.28509423,0.669008241
"29","2","High","Surface",11,2.98,14,2.637888,0.71462784
"36","3","High","Surface",10.9,2.82,13.7,2.61424074,0.676344852
"43","4","High","Surface",13.6,2.93,16.5,3.26163768,0.702691059
"50","5","High","Surface",9.41,2.89,12.3,2.255949636,0.692847444
"57","6","High","1 cm",8.41,2.86,11.3,2.018717898,0.686508108
"64","7","High","1 cm",8.28,2.85,11.1,1.987468272,0.68409234
"71","8","High","1 cm",8.26,2.84,11.1,1.982518944,0.681640896
"78","9","High","1 cm",7.66,3.04,10.7,1.838581542,0.729672048
"92","10","High","1 cm",8.03,3.01,11,1.927419219,0.722482173
"99","11","High","5 cm",27,1.09,28.1,6.5392758,0.263992986
"106","12","High","5 cm",26.1,1.18,27.3,6.32136258,0.285793404
"113","13","High","5 cm",27.1,1.05,28.2,6.56320266,0.25429383
"120","14","High","5 cm",28.8,1.47,30.3,6.97560768,0.356046642
"127","15","High","5 cm",25.4,1.28,26.7,6.15174792,0.310009344
"134","16","Low","Surface",12.7,3.47,16.2,3.05027457,0.833421477
"141","17","Low","Surface",11.9,3.39,15.3,2.85828123,0.814249863
"148","18","Low","Surface",12.8,3.12,15.9,3.07431936,0.749365344
"162","19","Low","Surface",13.7,3.58,17.3,3.29074137,0.859916358
"169","20","Low","Surface",12.6,3.38,16,3.02645322,0.811858086
"176","21","Low","1 cm",30.2,1.62,31.8,7.30073826,0.391629006
"183","22","Low","1 cm",25.7,1.39,27.1,6.21214746,0.335987742
"190","23","Low","1 cm",29.8,2.08,31.9,7.2042543,0.50284728
"197","24","Low","1 cm",21,1.49,16.4,5.0760738,0.360159522
"204","25","Low","1 cm",26.3,1.33,27.6,6.35709135,0.321480285
"211","26","Low","5 cm",22.4,2.03,24.4,5.4400752,0.493006815
"218","27","Low","5 cm",23.2,1.33,24.5,5.63315256,0.322935039
"232","28","Low","5 cm",24.6,1.42,26,5.9736303,0.34481931
"239","29","Low","5 cm",25.6,1.39,27,6.21714432,0.337571508
"246","30","Low","5 cm",24.6,1.86,26.5,5.97420594,0.451708254
"253","31","Control","Surface",23.5,1.81,25.3,5.7098232,0.439777872
"260","32","Control","Surface",21.4,2.05,23.5,5.19992394,0.498123555
"267","33","Control","Surface",22.2,1.91,24.1,5.39418042,0.464093901
"274","34","Control","Surface",21,1.73,22.7,5.102181,0.42032253
"281","35","Control","Surface",22.6,2.47,25.1,5.49097962,0.600120339
"288","36","Control","1 cm",22.4,1.8,24.2,5.44292448,0.43737786
"302","37","Control","1 cm",20.8,2.46,23.3,5.05411296,0.597746052
"309","38","Control","1 cm",21.6,1.97,23.6,5.24810016,0.478646172
"316","39","Control","1 cm",21.6,1.99,23.6,5.24786688,0.483484032
"323","40","Control","1 cm",21.3,2,23.3,5.17508847,0.4859238
"330","41","Control","5 cm",20.3,2.13,22.4,4.93283301,0.517582971
"337","42","Control","5 cm",20.6,1.78,22.4,5.00610282,0.432566166
"344","43","Control","5 cm",21.6,1.99,14.8,5.24926656,0.483612984
"351","44","Control","5 cm",19.5,2.52,22,4.7385702,0.612369072
"358","45","Control","5 cm",22.5,2.22,24.7,5.46772275,0.539481978
