"Sample.ID","sample.mass","C_pct","N_pct","cm_below_surface","Heat.Flux","Depth","original.PyOM.mass","average.mass.loss.for.treatments","mass.of.PyOM.left","final.sample.mass","mg_C_per_sample"
"1",398.6175,0.007271437,0.000663651,"0","High","Surface",1.002,0.992,0.01,79.9293,5.812008694041
"2",300.6015,0.009126349,0.0005339205,"0","High","Surface",1,0.992,0.008,79.936,7.29523833664
"3",300.6745,0.008969769,0.000347967,"0","High","Surface",1.005,0.992,0.013,79.9462,7.170989464278
"4",300.3365,0.0085245075,0.0003322125,"0","High","Surface",1.005,0.992,0.013,79.9421,6.8146703101575
"5",300.408,0.0116070145,0.0007583305,"0","High","Surface",1.005,0.992,0.013,79.9132,9.275536711414
"6",299.437,0.008275217,0.000332617,"1","High","1 cm",1.002,0.988,0.014,80.0126,6.621216277342
"7",299.698,0.0078357745,0.0004257565,"1","High","1 cm",1.008,0.988,0.02,80.0108,6.269465863646
"8",300.427,0.0093431075,0.0003842925,"1","High","1 cm",1.004,0.988,0.016,80.0048,7.47493446916
"9",199.8645,0.0110066985,0.000548298,"1","High","1 cm",1.007,0.988,0.019,80.0079,8.8062283291815
"10",200.57,0.009302563,0.0004248745,"1","High","1 cm",0.997,0.988,0.009,80.0091,7.442896933233
"11",59.6655,0.5794070065,0.0064022455,"5","High","5 cm",1.001,0.292,0.709,80.7318,467.765705673567
"12",60.151,0.6069706085,0.0100568015,"5","High","5 cm",0.997,0.292,0.705,80.7326,490.023153477871
"13",60.787,0.5978595615,0.0089449535,"5","High","5 cm",1,0.292,0.708,80.7282,482.641262526843
"14",60.6375,0.5836133065,0.011684422,"5","High","5 cm",1.003,0.292,0.711,80.7362,471.187206362453
"15",59.678,0.562286198,0.006127222,"5","High","5 cm",1,0.292,0.708,80.7316,453.942644224568
"16",200.33,0.0836075245,0.00158225,"0","Low","Surface",1,0.934,0.066,80.0597,66.9359332921265
"17",200.1685,0.0718866735,0.001749632,"0","Low","Surface",1,0.934,0.066,80.0639,57.5552743843665
"18",199.1705,0.072666511,0.0016339075,"0","Low","Surface",0.999,0.934,0.065,80.0604,58.177099372644
"19",200.0875,0.086920295,0.001695589,"0","Low","Surface",0.999,0.934,0.065,80.0667,69.594211836765
"20",200.3885,0.0798591895,0.0014874695,"0","Low","Surface",0.996,0.934,0.062,80.0649,63.9391802139855
"21",60.229,0.48685503,0.0069682,"1","Low","1 cm",1.003,0.478,0.525,80.5821,392.31800712963
"22",60.219,0.45556663,0.0115049695,"1","Low","1 cm",1.002,0.478,0.524,80.5726,367.06187852338
"23",60.1005,0.4514981655,0.007030309,"1","Low","1 cm",1.005,0.478,0.527,80.5845,363.837539177348
"24",59.648,0.3993875235,0.0044132565,"1","Low","1 cm",1.001,0.478,0.523,80.5726,321.796911759561
"25",59.8815,0.4673216495,0.006856124,"1","Low","1 cm",0.997,0.478,0.519,80.5715,376.528062826892
"26",60.9295,0.945391774,0.0074247685,"5","Low","5 cm",1,0.066,0.934,80.9535,765.32772976509
"27",59.8085,0.951896131,0.0113093885,"5","Low","5 cm",0.998,0.066,0.932,80.9361,770.427604482291
"28",59.6425,0.956727773,0.01316944,"5","Low","5 cm",0.999,0.066,0.933,80.9435,774.408944938255
"29",60.106,0.9606013,0.013177887,"5","Low","5 cm",0.999,0.066,0.933,80.9524,777.6298067812
"30",59.3145,0.950097233,0.013253408,"5","Low","5 cm",1.001,0.066,0.935,80.9513,769.116061377529
"31",60.2395,0.9650811255,0.0125179555,"0","Control","Surface",1.001,0,1.001,80.9904,781.623063866952
"32",60.251,0.956428379,0.0114074635,"0","Control","Surface",1.007,0,1.007,80.9957,774.665860569703
"33",60.3925,0.9413087365,0.01551916,"0","Control","Surface",1.002,0,1.002,80.9937,762.4007741146
"34",60.2245,0.9854978325,0.0150249645,"0","Control","Surface",1.005,0,1.005,80.987,798.125129606775
"35",60.5965,0.954142362,0.0162299505,"0","Control","Surface",0.999,0,0.999,80.9879,772.739861994198
"36",59.562,0.9795396925,0.0157039355,"1","Control","1 cm",1.005,0,1.005,80.9959,793.386989797608
"37",59.2295,0.9489220675,0.014398661,"1","Control","1 cm",1.003,0,1.003,80.9954,768.583224259895
"38",60.037,0.98449862,0.0143232655,"1","Control","1 cm",1.003,0,1.003,80.9892,797.33755634904
"39",60.5915,0.9728156925,0.0145393045,"1","Control","1 cm",0.999,0,0.999,80.9856,787.84062546528
"40",60.7035,0.9463828505,0.019384017,"1","Control","1 cm",0.996,0,0.996,80.9873,766.449918282987
"41",60.333,0.9776396155,0.0135223645,"5","Control","5 cm",1.002,0,1.002,80.9989,791.87733451923
"42",59.7535,0.987279117,0.013643945,"5","Control","5 cm",1,0,1,81.0049,799.744461446733
"43",60.124,0.967645794,0.014761268,"5","Control","5 cm",0.999,0,0.999,81.0072,783.862763637168
"44",60.249,0.954180181,0.014022119,"5","Control","5 cm",0.999,0,0.999,81.0012,772.897396772172
"45",60.065,1.0038879215,0.014696711,"5","Control","5 cm",1,0,1,81.0033,813.18234471641
